병원명,업무구분,대표전화,주소,월요일 진료,화요일 진료,수요일 진료,목요일 진료,금요일 진료,토요일 진료,일요일 진료,공휴일 진료,데이터기준일자
고려대학교의과대학부속안산병원,상급종합병원,031-1577-7516,경기도 안산시 단원구 적금로 123 (고잔동),09:30~16:30,09:30~16:30,09:30~16:30,09:30~16:30,08:30~17:30,09:30~12:00,,,2022-06-01
대아의료재단한도병원,종합병원,031-8040-1114,경기도 안산시 단원구 선부광장로 103 (선부동),09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~12:30,,,2022-06-01
의료법인플러스의료재단단원병원,종합병원,031-8040-6600,"경기도 안산시 단원구 원포공원1로 20, 동의성단원병원 (초지동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,2022-06-01
고든병원,병원,1577-7870,"경기도 안산시 단원구 고잔로 76, 영풍빌딩 408호일부, 409호, 501~502호, 506호 (고잔동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,2022-06-01
두손병원,병원,031-402-0114,경기도 안산시 단원구 선부광장1로 114 (선부동),09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~13:00,,,2022-06-01
박진영병원,병원,031-405-2200,"경기도 안산시 단원구 광덕대로 181, 2층, 6,7층일부층 (고잔동, BYC빌딩)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:30,,,2022-06-01
성은병원,병원,031-484-6500,"경기도 안산시 단원구 원포공원1로 19, 원포빌딩 121,122,401,501호 (초지동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,2022-06-01
세창의료재단우성여성병원,병원,031-412-3000,경기도 안산시 단원구 고잔로 58-10 (고잔동),09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~13:00,10:00~14:00,10:00~14:00,2022-06-01
안산21세기병원,병원,031-482-0114,경기도 안산시 단원구 보화로 50 (고잔동),09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:30,,,2022-06-01
에이스병원,병원,1800-7575,"경기도 안산시 단원구 화랑로 376, B1, 1층 일부, 2~5층 (고잔동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,2022-06-01
온누리병원,병원,031-412-2200,경기도 안산시 단원구 선부로 201 (선부동),09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~13:00,00:00~24:00,00:00~24:00,2022-06-01
장동욱병원,병원,031-493-2119,"경기도 안산시 단원구 동산로 60, 3층 (원시동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~15:00,,,2022-06-01
제이케이병원,병원,031-364-8858,"경기도 안산시 단원구 예술대학로4길 10, 지하1, 1~3층 (고잔동, 지디스요양원)",09:00~19:00,09:00~17:30,09:00~19:00,09:00~17:30,09:00~19:00,09:00~14:00,,,2022-06-01
치항병원,병원,031-419-3000,경기도 안산시 단원구 고잔2길 2 (고잔동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,2022-06-01
케이에스병원,병원,031-405-3402,"경기도 안산시 단원구 고잔로 54, 203,302~303호 (고잔동, 에이스타워)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,2022-06-01
한빛여성병원,병원,031-410-3316,경기도 안산시 단원구 광덕동로 53 (고잔동),09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,09:30~13:00,,2022-06-01
더드림의료소비자생활협동조합미래요양병원,요양병원,031-487-1144,"경기도 안산시 단원구 선부광장1로 38, 401~406호 (선부동, 상록타운)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,,2022-06-01
아너스요양병원,요양병원,031-403-0909,"경기도 안산시 단원구 원포공원1로 49, 태영타운 2,3층 209-219, 301-307호 (초지동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,,2022-06-01
안산나래요양병원,요양병원,031-507-3333,"경기도 안산시 단원구 선부광장1로 118, 삼아빌딩 B101, 201, 301, 401, 501호 (선부동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,,2022-06-01
안산조은요양병원,요양병원,031-403-8312,"경기도 안산시 단원구 광덕4로 180 (고잔동,부원프라자 201호, 207호, 301~309호)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,2022-06-01
안산중앙요양병원,요양병원,031-403-4030,"경기도 안산시 단원구 고잔로 134, 지하2~3층,지상1층, 3~8층 (고잔동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,,2022-06-01
